audio_file,gender,speed,volume,pitch,prompt_code,prompt_type,prompt_text
audio_010.wav,Male,Fast,High,Normal,0-2-2-0,phrase,"Requesting a father-sounding voice, the loud speech remained at a hurrying speaking tempo."
audio_010.wav,Male,Fast,High,Normal,0-2-2-0,phrase,"With a bigness volume, the speaker delivered the speech with at a brisk pace."
audio_010.wav,Male,Fast,High,Normal,0-2-2-0,phrase,In search of a virile-specific voice that is at a brisk pace in speech and earsplitting in volume.
audio_010.wav,Male,Fast,High,Normal,0-2-2-0,phrase,Needing a boys voice that can speak at a rapidity pace with largeness volume.
audio_010.wav,Male,Fast,High,Normal,0-2-2-0,phrase,"I need a natural, loudly, grandfather voice with a with lightning speed tempo."
audio_010.wav,Male,Fast,High,Normal,0-2-2-0,sentence,"For the presentation, I require a voice that is status quo pitched, maintains a forceful volume consistency, sounds like a virile, and proceeds at a quickening tempo."
audio_010.wav,Male,Fast,High,Normal,0-2-2-0,sentence,"Could you generate a voice with raucous-level volume, swiftness speed of speech, and a manning sound?"
audio_010.wav,Male,Fast,High,Normal,0-2-2-0,sentence,"With a focus on finding a sir voice with a ordinary tone, the presentation was delivered at a consistent loud volume and flowed at a quick speed."
audio_010.wav,Male,Fast,High,Normal,0-2-2-0,sentence,"The perfect voice for my needs is one that speaks with a swifts speed, everyday pitch, corresponds to the gender of a manhood, and is raucous in terms of loudness."
audio_010.wav,Male,Fast,High,Normal,0-2-2-0,sentence,"With a loud volume level, please ensure that the presentation flows at the desired quick speed."
audio_009.wav,Female,Fast,High,High,1-2-2-2,phrase,The shriek-pitched speech requested a feminines-sounding voice with a ringing volume level and rapids pace.
audio_009.wav,Female,Fast,High,High,1-2-2-2,phrase,"The voice should have a earsplitting volume level and sharpness pitch level, with a dames-specific tone, to match the lecturer's hastiness."
audio_009.wav,Female,Fast,High,High,1-2-2-2,phrase,"I need a feminine-sounding voice that flows at with lightning speed speed, uses a squeak pitch, and has a sonority volume level."
audio_009.wav,Female,Fast,High,High,1-2-2-2,phrase,"Seeking a vocal style that incorporates quicken, vociferous, acute and mrs. in line with my preferences."
audio_009.wav,Female,Fast,High,High,1-2-2-2,phrase,"The squeal pitch, mother's clear expression of ideas, loudly volume, and quickly rate were all notable aspects of their speech."
audio_009.wav,Female,Fast,High,High,1-2-2-2,sentence,"This hoarseness pitched speech, delivered by she, demanded attention from start to finish with a sonority in volume voice and consistent swift."
audio_009.wav,Female,Fast,High,High,1-2-2-2,sentence,"I need a voice that is shouting pitched with varying boisterous volume and hurrying. Additionally, could you make sure the gender aligns with a queen?"
audio_009.wav,Female,Fast,High,High,1-2-2-2,sentence,"I need a hastes-talking, sonority-adjustable, high pitched-toned, and ma'am-distinguished voice."
audio_009.wav,Female,Fast,High,High,1-2-2-2,sentence,"The mother voice with a shrills tone was sought out, while also ensuring the speaker maintained a consistent loud volume and the presentation flowed at a haste speed."
audio_009.wav,Female,Fast,High,High,1-2-2-2,sentence,"The voice must be screeches pitched and sonority volume consistent with the presentation's promptitude tempo, and sound like a feminine."
audio_008.wav,Male,Fast,Normal,Normal,0-2-1-0,phrase,"Could you create a voice that embodies small, swiftly, and intermediate?"
audio_008.wav,Male,Fast,Normal,Normal,0-2-1-0,phrase,"A virile voice that matches hasted, quieting, and intermediate is necessary."
audio_008.wav,Male,Fast,Normal,Normal,0-2-1-0,phrase,"Seeking a speaker with a typical voice, mumble, and briskly."
audio_008.wav,Male,Fast,Normal,Normal,0-2-1-0,phrase,"To match the neutral pitch, hasted pace, small volume, and gender of he, a voice is needed for this speech."
audio_008.wav,Male,Fast,Normal,Normal,0-2-1-0,phrase,The speaker consistently maintained a quietness volume and hastily tempo.
audio_008.wav,Male,Fast,Normal,Normal,0-2-1-0,sentence,Could you please generate a voice with a discreet volume and a promptly pace of speech?
audio_008.wav,Male,Fast,Normal,Normal,0-2-1-0,sentence,Could you generate a voice that is hushed in volume while keeping the presentation flowing at hastening speed?
audio_008.wav,Male,Fast,Normal,Normal,0-2-1-0,sentence,"I'm seeking a voice that embodies mr. qualities, matches the desired small, quicken, and average. Can you help me find it?"
audio_008.wav,Male,Fast,Normal,Normal,0-2-1-0,sentence,The note of the hasty tempo of the talk was followed by a request to generate a little voice.
audio_008.wav,Male,Fast,Normal,Normal,0-2-1-0,sentence,"Throughout the speech, the par for the course remained consistent, while the hushed and at full speed were unwavering."
audio_007.wav,Female,Fast,Normal,High,1-2-1-2,phrase,"The jarring pitch, grandmother's clear expression of ideas, lowish volume, and quickens rate were all notable aspects of their speech."
audio_007.wav,Female,Fast,Normal,High,1-2-1-2,phrase,"With a request for ladies voice and screaming pitch, the speech began at rapidity rate and continued with timid volume."
audio_007.wav,Female,Fast,Normal,High,1-2-1-2,phrase,"A voice with stridulation, quiets, woman, and in a flash is what I'm searching for."
audio_007.wav,Female,Fast,Normal,High,1-2-1-2,phrase,"With a pointedly pitch and hastened tempo, the dames speaker's voice was adjusted to meet the specified quieted volume level."
audio_007.wav,Female,Fast,Normal,High,1-2-1-2,sentence,"In search of a speaker whose voice has a stridently pitch, speaks at a at full speed tempo, and possesses mumble in terms of volume, while also being specific to the gender of a girl."
audio_007.wav,Female,Fast,Normal,High,1-2-1-2,sentence,"With a strident pitch and a rapidity speed, the ladies-related voice kept a steady small volume, contributing to the overall flow of the presentation."
audio_007.wav,Female,Fast,Normal,High,1-2-1-2,sentence,"I'm seeking a speaker whose soft-spoken voice is stridence pitched, reflects the characteristics of a female, and speaks at a quickly tempo that suits my requirements."
audio_007.wav,Female,Fast,Normal,High,1-2-1-2,sentence,"May I have a gals-like voice that matches the timid, at full speed, and stridor I'm looking for?"
audio_007.wav,Female,Fast,Normal,High,1-2-1-2,sentence,"A voice with a little volume level, a raspingly pitch, and a presentation tempo set to in double-quick time is kindly requested for a girl-sounding speaker."
audio_006.wav,Male,Fast,Normal,Low,0-2-1-1,phrase,"Seeking a voice with fastly speaking pace, whisper volume, grandfather-specific alignment and mellow tone."
audio_006.wav,Male,Fast,Normal,Low,0-2-1-1,phrase,Speech with quiet fluctuation and seeking a voice with hasted speaking rate and deep pitch.
audio_006.wav,Male,Fast,Normal,Low,0-2-1-1,phrase,"Can you create a voice that is deep, hurriedly, and small?"
audio_006.wav,Male,Fast,Normal,Low,0-2-1-1,phrase,The speaker's speed was hastes and their voice was languid in pitch with a quiets volume level.
audio_006.wav,Male,Fast,Normal,Low,0-2-1-1,phrase,"I'm seeking a speech style with bass, quietness, and rapids as the defining factors."
audio_006.wav,Male,Fast,Normal,Low,0-2-1-1,sentence,"I kindly request a guys-sounding voice that speaks at a rapidness rate, with a smallness and languid pitch level, thank you."
audio_006.wav,Male,Fast,Normal,Low,0-2-1-1,sentence,"The oration maintained a steady quiet and swiftly, while the monotone remained constant."
audio_006.wav,Male,Fast,Normal,Low,0-2-1-1,sentence,"For this project, I require a smallness volume, in double-quick time delivery, and contrabass pitched voice."
audio_006.wav,Male,Fast,Normal,Low,0-2-1-1,sentence,"A voice that speaks at a hastiness speed, has a small volume level, and falls in the low pitched range is what I need."
audio_006.wav,Male,Fast,Normal,Low,0-2-1-1,sentence,"The speaker delivered the speech with a low keyed pitch and at a murmur volume, requesting for a voice that speaks at a similar hastening pace."
audio_005.wav,Female,Fast,High,High,1-2-2-2,phrase,The shriek-pitched speech requested a feminines-sounding voice with a ringing volume level and rapids pace.
audio_005.wav,Female,Fast,High,High,1-2-2-2,phrase,"The voice should have a earsplitting volume level and sharpness pitch level, with a dames-specific tone, to match the lecturer's hastiness."
audio_005.wav,Female,Fast,High,High,1-2-2-2,phrase,"I need a feminine-sounding voice that flows at with lightning speed speed, uses a squeak pitch, and has a sonority volume level."
audio_005.wav,Female,Fast,High,High,1-2-2-2,phrase,"Seeking a vocal style that incorporates quicken, vociferous, acute and mrs. in line with my preferences."
audio_005.wav,Female,Fast,High,High,1-2-2-2,phrase,"The squeal pitch, mother's clear expression of ideas, loudly volume, and quickly rate were all notable aspects of their speech."
audio_005.wav,Female,Fast,High,High,1-2-2-2,sentence,"This hoarseness pitched speech, delivered by she, demanded attention from start to finish with a sonority in volume voice and consistent swift."
audio_005.wav,Female,Fast,High,High,1-2-2-2,sentence,"I need a voice that is shouting pitched with varying boisterous volume and hurrying. Additionally, could you make sure the gender aligns with a queen?"
audio_005.wav,Female,Fast,High,High,1-2-2-2,sentence,"I need a hastes-talking, sonority-adjustable, high pitched-toned, and ma'am-distinguished voice."
audio_005.wav,Female,Fast,High,High,1-2-2-2,sentence,"The mother voice with a shrills tone was sought out, while also ensuring the speaker maintained a consistent loud volume and the presentation flowed at a haste speed."
audio_005.wav,Female,Fast,High,High,1-2-2-2,sentence,"The voice must be screeches pitched and sonority volume consistent with the presentation's promptitude tempo, and sound like a feminine."
audio_007.wav,Female,Fast,Normal,High,1-2-1-2,phrase,"The ideal voice is she with quickens, murmur, and high key."
audio_003.wav,Male,Fast,High,Low,0-2-2-1,phrase,"The fullmouthed, swiftly, and languid of the voice must meet my requirements."
audio_003.wav,Male,Fast,High,Low,0-2-2-1,phrase,"Seeking a hastily-paced, boys-inflected, sonorousness volume, and languid-pitched voice."
audio_003.wav,Male,Fast,High,Low,0-2-2-1,phrase,"The bellowing volume, hasted tempo, and soothing pitch level defined the speech."
audio_003.wav,Male,Fast,High,Low,0-2-2-1,phrase,"""The voice should correspond to brother gender with soothing pitch, largeness volume level, and rapid rate."""
audio_003.wav,Male,Fast,High,Low,0-2-2-1,phrase,"With a vociferous volume level and low-keyed voice, the presentation flowed at swiftly speed."
audio_003.wav,Male,Fast,High,Low,0-2-2-1,sentence,"If possible, I am looking for a voice with a prompt speaking tempo and mellow pitch, that also has a loudly volume level, and ideally is male."
audio_003.wav,Male,Fast,High,Low,0-2-2-1,sentence,"I'm interested in a voice with a bass pitch level and the volume of the speaker's voice was forceful, can you also create a voice that speaks at a in a flash rate?"
audio_003.wav,Male,Fast,High,Low,0-2-2-1,sentence,"Could a boys-sounding speaker be generated with a loud volume level, a husky pitch, and a presentation tempo that proceeds at rapidity, please?"
audio_003.wav,Male,Fast,High,Low,0-2-2-1,sentence,"A voice that matches the maleness gender with a droning pitch, large volume, and promptness speed is being sought by the speaker."
audio_003.wav,Male,Fast,High,Low,0-2-2-1,sentence,"I kindly request a mr.-sounding voice that speaks at a at a brisk pace rate, with a fullmouthed and low pitch pitch level, thank you."
audio_002.wav,Male,Fast,Low,Normal,0-2-0-0,phrase,The speech was delivered with a hurried pace and median volume volume by the speaker.
audio_002.wav,Male,Fast,Low,Normal,0-2-0-0,phrase,Requesting a normative pitched and manfulness tailored voice that moves at quicken pace.
audio_002.wav,Male,Fast,Low,Normal,0-2-0-0,phrase,Produce a voice that is consistent in moderate and pace at a hastened pace.
audio_002.wav,Male,Fast,Low,Normal,0-2-0-0,phrase,"Hoping for a quickly, manhood-esque, regular intensity volume, routine pitch voice."
audio_002.wav,Male,Fast,Low,Normal,0-2-0-0,phrase,"A quickens-paced, intermediate-loud, ordinary-pitched voice is necessary."
audio_002.wav,Male,Fast,Low,Normal,0-2-0-0,sentence,I am looking for a tone voice with a promptitude speaking rate that portrays the gender of a grandfather.
audio_002.wav,Male,Fast,Low,Normal,0-2-0-0,sentence,"""I'm seeking a voice that has a level tone, flows at rapid speed, matches the gender of a father, and is typical amplitude in loudness, please."""
audio_002.wav,Male,Fast,Low,Normal,0-2-0-0,sentence,I asked for a voice with a medium sound volume level and that matches the gender of a gentlemans during the talk which took place at a hastiness rate.
audio_002.wav,Male,Fast,Low,Normal,0-2-0-0,sentence,"I require a voice that falls in the normative range and speaks at a hastens speed in the boyfriend tone, if possible."
audio_002.wav,Male,Fast,Low,Normal,0-2-0-0,sentence,Can you provide me with a masculine voice and ensure that the talk unfolds at quick rate?
audio_001.wav,Male,Fast,High,Low,0-2-2-1,phrase,"The fullmouthed, swiftly, and languid of the voice must meet my requirements."
audio_001.wav,Male,Fast,High,Low,0-2-2-1,phrase,"Seeking a hastily-paced, boys-inflected, sonorousness volume, and languid-pitched voice."
audio_001.wav,Male,Fast,High,Low,0-2-2-1,phrase,"The bellowing volume, hasted tempo, and soothing pitch level defined the speech."
audio_001.wav,Male,Fast,High,Low,0-2-2-1,phrase,"""The voice should correspond to brother gender with soothing pitch, largeness volume level, and rapid rate."""
audio_001.wav,Male,Fast,High,Low,0-2-2-1,phrase,"With a vociferous volume level and low-keyed voice, the presentation flowed at swiftly speed."
audio_001.wav,Male,Fast,High,Low,0-2-2-1,sentence,"If possible, I am looking for a voice with a prompt speaking tempo and mellow pitch, that also has a loudly volume level, and ideally is male."
audio_001.wav,Male,Fast,High,Low,0-2-2-1,sentence,"I'm interested in a voice with a bass pitch level and the volume of the speaker's voice was forceful, can you also create a voice that speaks at a in a flash rate?"
audio_001.wav,Male,Fast,High,Low,0-2-2-1,sentence,"Could a boys-sounding speaker be generated with a loud volume level, a husky pitch, and a presentation tempo that proceeds at rapidity, please?"
audio_001.wav,Male,Fast,High,Low,0-2-2-1,sentence,"A voice that matches the maleness gender with a droning pitch, large volume, and promptness speed is being sought by the speaker."
audio_001.wav,Male,Fast,High,Low,0-2-2-1,sentence,"I kindly request a mr.-sounding voice that speaks at a at a brisk pace rate, with a fullmouthed and low pitch pitch level, thank you."
LJ037-0171.wav,Female,Fast,Low,High,1-2-0-2,phrase,"Please provide me a voice that is trebled pitched and womanish tailored, with speech at quick pace."
LJ037-0171.wav,Female,Fast,Low,High,1-2-0-2,phrase,In search of a pointedly womanlike voice at a promptitude speed.
LJ037-0171.wav,Female,Fast,Low,High,1-2-0-2,phrase,"With a stridently pitch and a hasting speed, the hers speaker presented the speech that was requested."
LJ037-0171.wav,Female,Fast,Low,High,1-2-0-2,phrase,"The requested speech had specific characteristics, including woman voice, hasting rate, trebling pitch, and not too soft volume."
LJ037-0171.wav,Female,Fast,Low,High,1-2-0-2,phrase,A speech that had a varying everyday sound volume and feminines expressing their ideas clearly with a shrillness pitch and speaking at a swifts rate.
LJ037-0171.wav,Female,Fast,Low,High,1-2-0-2,sentence,"The perfect voice for my needs is one that speaks with a prompt speed, piercings pitch, corresponds to the gender of a madam, and is medium sound in terms of loudness."
LJ037-0171.wav,Female,Fast,Low,High,1-2-0-2,sentence,"The her speaker delivered the presentation at rapidity tempo, demonstrating remarkable clarity while maintaining a intermediate intensity volume and utilizing a trebled pitch throughout the speech."
LJ037-0171.wav,Female,Fast,Low,High,1-2-0-2,sentence,In search of a moving at a fast pace speaking tempo and a acutely pitch level voice that matches the gender of a womanly.
LJ037-0171.wav,Female,Fast,Low,High,1-2-0-2,sentence,"The voice I'm looking for should have trebling tone, balanced loudness volume, be specific to niece, and have the same speed as the lecturer, which was hurriedly."
LJ037-0171.wav,Female,Fast,Low,High,1-2-0-2,sentence,In search of a quickening speaking tempo and a shrieks pitch level voice that matches the gender of a womanliness.
LJ025-0076.wav,Female,Fast,Normal,High,1-2-1-2,phrase,"The ideal voice is she with quickens, murmur, and high key."
LJ025-0076.wav,Female,Fast,Normal,High,1-2-1-2,phrase,"The jarring pitch, grandmother's clear expression of ideas, lowish volume, and quickens rate were all notable aspects of their speech."
LJ025-0076.wav,Female,Fast,Normal,High,1-2-1-2,phrase,"With a request for ladies voice and screaming pitch, the speech began at rapidity rate and continued with timid volume."
LJ025-0076.wav,Female,Fast,Normal,High,1-2-1-2,phrase,"A voice with stridulation, quiets, woman, and in a flash is what I'm searching for."
